value_bet,edge,side,event_name,timestamp,team,point,token_id,true_prob,polymarket_best_ask,expected_payout_per_1
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:41:08.199137+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:43:00.109582+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:44:54.617719+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:46:46.613493+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:48:36.969769+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:50:23.465885+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:52:15.073841+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:54:02.072146+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:55:48.635056+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:57:35.999415+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:59:23.443831+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T11:01:13.461382+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T11:02:59.851157+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T11:04:52.527040+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
